count,action,delay,duration,duration_of_vehicles_left,emergency,flickering,num_of_vehicles_at_entering,num_of_vehicles_in_system,num_of_vehicles_left,partial_duration,queue_length,wait_time
455.0, 0, 5.493112387846658, 192.78333333333342, 0.4166666666666667, 0.0, 0, 147, 180, 1, 138.38333333333333, 41, 3.316666666666667
456.0, 0, 5.44637084454194, 195.2333333333333, 0, 0.0, 0, 147, 180, 0, 140.33333333333337, 45, 3.5166666666666666
457.0, 0, 5.210723856536228, 197.23333333333326, 0.45, 0.0, 0, 148, 182, 1, 142.2833333333333, 46, 3.9499999999999997
458.0, 0, 5.161764835023566, 199.70000000000016, 0, 0.0, 0, 148, 182, 0, 144.23333333333338, 49, 4.3
459.0, 0, 5.2612228053501955, 201.36666666666656, 0.8, 0.0, 0, 146, 180, 2, 146.18333333333337, 52, 4.8
460.0, 0, 5.473189350900171, 203.8000000000001, 0, 0.0, 0, 150, 182, 0, 148.13333333333333, 54, 5.283333333333333
461.0, 0, 5.3991715820237705, 206.29999999999993, 0, 0.0, 0, 150, 181, 0, 150.08333333333331, 56, 5.8
462.0, 1, 5.367146308838984, 205.88333333333324, 2.9166666666666665, 0.0, 1, 151, 181, 1, 149.46666666666664, 54, 5.433333333333334
463.0, 0, 5.409128098929885, 199.7000000000002, 8.7, 0.0, 0, 148, 180, 3, 143.7833333333333, 53, 4.983333333333333
464.0, 0, 5.459535636011747, 202.16666666666657, 0, 0.0, 0, 148, 177, 0, 145.66666666666666, 49, 4.7
465.0, 0, 5.796566849306098, 204.63333333333344, 0, 0.0, 0, 152, 181, 0, 147.54999999999998, 48, 4.316666666666667
466.0, 0, 5.805386205300934, 198.59999999999994, 8.566666666666666, 0.0, 0, 149, 181, 3, 142.31666666666663, 51, 4.1
467.0, 0, 5.712858340650083, 198.13333333333327, 2.95, 0.0, 0, 150, 183, 1, 141.76666666666665, 48, 3.783333333333333
468.0, 0, 5.7610289128503425, 200.63333333333352, 0, 0.0, 0, 150, 183, 0, 143.63333333333333, 48, 3.916666666666666
469.0, 0, 5.814492791295149, 191.7666666666666, 11.366666666666667, 0.0, 0, 146, 183, 4, 135.9666666666667, 43, 3.566666666666667
470.0, 0, 5.9817870176667896, 194.20000000000007, 0, 0.0, 0, 150, 187, 0, 137.78333333333333, 44, 3.7500000000000004
471.0, 0, 6.024263219747046, 194.09999999999997, 2.6, 0.0, 0, 149, 187, 1, 137.35000000000005, 46, 3.6333333333333333
472.0, 0, 6.004884013155848, 196.58333333333326, 0, 0.0, 0, 151, 187, 0, 139.23333333333332, 44, 3.3500000000000005
473.0, 0, 6.051936771459682, 199.1000000000002, 0, 0.0, 0, 151, 185, 0, 141.1666666666667, 43, 3.2166666666666663
474.0, 0, 6.096942283656034, 201.61666666666653, 0, 0.0, 0, 151, 184, 0, 143.15, 46, 3.1999999999999997
475.0, 1, 6.220050695089783, 204.1333333333334, 0, 0.0, 1, 155, 185, 0, 145.18333333333334, 45, 3.1333333333333337
476.0, 0, 5.72728224272404, 204.4833333333333, 2.2333333333333334, 0.0, 0, 151, 183, 4, 146.79999999999995, 46, 3.066666666666667
477.0, 0, 5.626755606020646, 206.99999999999991, 0, 0.0, 0, 153, 183, 0, 148.83333333333326, 44, 3.216666666666667
478.0, 0, 5.624481825121578, 209.5500000000002, 0, 0.0, 0, 153, 181, 0, 150.8833333333333, 46, 3.1166666666666667
479.0, 0, 5.277996223959285, 211.1333333333332, 0.9666666666666667, 0.0, 0, 151, 181, 2, 152.94999999999996, 46, 3.1166666666666667
480.0, 0, 5.437106543602315, 212.8166666666668, 0.8333333333333334, 0.0, 0, 153, 185, 2, 155.0333333333333, 45, 3.1666666666666665
481.0, 0, 5.355258947269847, 215.36666666666662, 0, 0.0, 0, 153, 185, 0, 157.11666666666667, 46, 3.666666666666667
482.0, 0, 5.247532823333611, 217.9166666666666, 0, 0.0, 0, 155, 187, 0, 159.20000000000002, 49, 3.9166666666666665
483.0, 0, 5.2086715756768935, 220.5000000000002, 0, 0.0, 0, 155, 187, 0, 161.2833333333334, 47, 4.133333333333333
484.0, 0, 5.202156951677073, 222.6833333333332, 0.4, 0.0, 0, 154, 187, 1, 163.36666666666667, 50, 4.566666666666666
485.0, 0, 5.4892540925062345, 224.83333333333343, 0.4166666666666667, 0.0, 0, 157, 190, 1, 165.4666666666667, 55, 5.116666666666667
486.0, 0, 5.3932114713933075, 227.44999999999996, 0, 0.0, 0, 157, 187, 0, 167.5666666666667, 55, 5.583333333333333
487.0, 0, 5.3548260322368035, 230.0666666666666, 0, 0.0, 0, 159, 187, 0, 169.66666666666674, 57, 6.1
488.0, 1, 5.454141761798546, 229.5833333333335, 3.1333333333333333, 0.0, 1, 158, 184, 1, 169.01666666666662, 53, 5.633333333333334
489.0, 0, 5.500469042951831, 223.0833333333332, 9.133333333333333, 0.0, 0, 155, 183, 3, 163.38333333333335, 55, 5.366666666666667
490.0, 0, 5.716159292288383, 225.66666666666674, 0, 0.0, 0, 159, 186, 0, 165.43333333333325, 53, 5.05
491.0, 0, 5.672869144835559, 228.31666666666663, 0, 0.0, 0, 159, 186, 0, 167.48333333333332, 48, 4.7
492.0, 0, 5.727442132083837, 218.81666666666655, 12.15, 0.0, 0, 157, 188, 4, 159.0166666666666, 50, 4.533333333333333
493.0, 0, 5.7419323631781305, 221.43333333333354, 0, 0.0, 0, 157, 188, 0, 161.03333333333333, 52, 4.533333333333333
494.0, 0, 5.816055227597057, 224.0499999999998, 0, 0.0, 0, 157, 188, 0, 163.0666666666666, 52, 4.516666666666667
495.0, 0, 6.047394494105006, 214.65000000000012, 12.016666666666666, 0.0, 0, 157, 192, 4, 154.5666666666667, 54, 4.55
496.0, 0, 6.057470023244037, 217.26666666666665, 0, 0.0, 0, 157, 192, 0, 156.55, 51, 4.349999999999999
497.0, 0, 6.056679665315419, 211.09999999999994, 8.783333333333335, 0.0, 0, 156, 194, 3, 150.81666666666675, 50, 4.083333333333333
498.0, 0, 6.091084507699773, 213.70000000000024, 0, 0.0, 0, 156, 193, 0, 152.8500000000001, 51, 4.066666666666666
499.0, 0, 6.140802510657046, 216.29999999999987, 0, 0.0, 0, 156, 190, 0, 154.90000000000003, 49, 3.9666666666666663
500.0, 0, 6.308746347727441, 218.90000000000012, 0, 0.0, 0, 160, 192, 0, 156.98333333333335, 48, 3.7500000000000004
501.0, 1, 6.238200910482796, 221.56666666666666, 0, 0.0, 1, 160, 190, 0, 159.08333333333334, 43, 3.25
502.0, 0, 5.694709199436072, 221.93333333333325, 2.3, 0.0, 0, 158, 190, 4, 160.70000000000007, 46, 3.3166666666666673
503.0, 0, 5.720120798321702, 224.56666666666686, 0, 0.0, 0, 158, 188, 0, 162.76666666666665, 44, 3.3
504.0, 0, 5.744773117545336, 227.19999999999985, 0, 0.0, 0, 158, 187, 0, 164.8666666666667, 46, 3.3499999999999996
505.0, 0, 5.67003249534019, 228.8333333333334, 1.0, 0.0, 0, 160, 191, 2, 166.96666666666658, 47, 3.4833333333333334
506.0, 0, 5.375153655855403, 230.63333333333333, 0.8666666666666667, 0.0, 0, 158, 191, 2, 169.11666666666665, 46, 3.383333333333333
507.0, 0, 5.258817029360361, 233.26666666666657, 0, 0.0, 0, 160, 193, 0, 171.2666666666666, 48, 3.8000000000000003
508.0, 0, 5.223347549254492, 235.93333333333354, 0, 0.0, 0, 160, 193, 0, 173.41666666666669, 47, 3.7500000000000004
509.0, 0, 5.238140581225938, 238.5999999999998, 0, 0.0, 0, 160, 193, 0, 175.58333333333326, 50, 3.983333333333333
510.0, 0, 5.470237276051718, 240.43333333333348, 0.8333333333333334, 0.0, 0, 162, 197, 2, 177.76666666666665, 54, 4.333333333333333
511.0, 0, 5.382643510757605, 243.13333333333333, 0, 0.0, 0, 162, 195, 0, 179.9666666666667, 56, 4.916666666666667
512.0, 0, 5.279476735436554, 245.8333333333333, 0, 0.0, 0, 164, 195, 0, 182.1666666666667, 55, 5.3
513.0, 0, 5.3016662181085366, 248.5666666666669, 0, 0.0, 0, 164, 192, 0, 184.36666666666673, 59, 5.949999999999999
514.0, 1, 5.360598478632937, 251.2999999999998, 0, 0.0, 1, 164, 191, 0, 186.5666666666666, 57, 5.516666666666667
